repo_id,n_artifacts_removed,artifact_gap_mature,delta_artifact_gap_vs_full,repo_gap_unguarded,delta_repo_gap_unguarded_vs_full,repo_gap_restricted,delta_repo_gap_restricted_vs_full,abs_delta_artifact_gap,abs_delta_repo_gap_unguarded,abs_delta_repo_gap_restricted
wshobson/agents,161,0.3511450381679389,0.06631531680570979,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.06631531680570979,0.0002462932860450226,0.002342342342342346
ComposioHQ/awesome-claude-skills,1777,0.22297297297297297,-0.061856748389256144,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.061856748389256144,0.0002462932860450226,0.002342342342342346
ruvnet/ruflo,304,0.30976430976430974,0.024934588402080626,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.024934588402080626,0.0002462932860450226,0.002342342342342346
anthropics/claude-code,10,0.26198083067092653,-0.02284889069130258,0.04477611940298507,-0.004728831092064435,0.16216216216216217,-0.011171171171171168,0.02284889069130258,0.004728831092064435,0.011171171171171168
anthropics/skills,50,0.2647058823529412,-0.020123839009287936,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.020123839009287936,0.0002462932860450226,0.002342342342342346
openclaw/openclaw,153,0.3026315789473684,0.017801857585139302,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.017801857585139302,0.0002462932860450226,0.002342342342342346
obra/superpowers,57,0.29449838187702265,0.009668660514793537,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.009668660514793537,0.0002462932860450226,0.002342342342342346
pydantic/pydantic-ai,34,0.2920634920634921,0.007233770701262965,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.007233770701262965,0.0002462932860450226,0.002342342342342346
dagster-io/dagster,12,0.277602523659306,-0.007227197702923127,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.007227197702923127,0.0002462932860450226,0.002342342342342346
BerriAI/litellm,8,0.279874213836478,-0.004955507525751135,0.04975124378109453,0.0002462932860450226,0.17567567567567569,0.002342342342342346,0.004955507525751135,0.0002462932860450226,0.002342342342342346
discourse/discourse,4,0.2803738317757009,-0.0044558895865282055,0.04975124378109453,0.0002462932860450226,0.16216216216216217,-0.011171171171171168,0.0044558895865282055,0.0002462932860450226,0.011171171171171168
