repo_id,artifact_type,artifact_path,state_180,introduced_at,last_touch_at,days_since_last_touch,touch_count,present_in_head,git_state_correct,substantial_last_touch,apparent_semantic_relevance,ambiguous,annotator_notes
TransformerOptimus/SuperAGI,prompts,superagi/tools/code/prompts/write_spec.txt,DORMANT,2023-06-23 05:19:39+00:00,2023-06-23 05:19:39+00:00,579,1,True,yes,no,yes,no,
apache/beam,prompts,learning/prompts/documentation-lookup-nolinks/05_basic_ptransforms.md,DORMANT,2024-04-08 20:14:09+00:00,2024-04-08 20:14:09+00:00,792,1,True,yes,no,yes,no,
apache/beam,prompts,learning/prompts/documentation-lookup/01_basic_learning_apache_beam.md,DORMANT,2023-12-26 14:25:45+00:00,2023-12-26 14:25:45+00:00,896,1,True,yes,no,yes,no,
ComposioHQ/awesome-claude-skills,skill_md,brand-guidelines/SKILL.md,DORMANT,2025-10-22 12:14:36+00:00,2025-10-22 12:14:36+00:00,211,1,True,yes,no,yes,no,
obra/superpowers,skill_md,skills/writing-skills/SKILL.md,ACTIVE,2025-10-16 14:19:00+00:00,2026-03-24 00:05:42+00:00,66,14,True,yes,yes,yes,no,
code-yeongyu/oh-my-openagent,skill_md,packages/omo-opencode/src/features/builtin-skills/frontend-ui-ux/SKILL.md,ACTIVE,2025-12-03 04:07:02+00:00,2026-06-09 09:11:57+00:00,1,12,True,yes,yes,yes,no,
wshobson/agents,skill_md,plugins/developer-essentials/skills/monorepo-management/SKILL.md,ACTIVE,2025-10-24 01:05:06+00:00,2026-05-22 12:18:21+00:00,13,4,True,yes,yes,yes,no,
microsoft/playwright,prompts,examples/todomvc/.github/prompts/playwright-test-generate.prompt.md,ACTIVE,2025-10-17 23:16:20+00:00,2026-01-06 23:00:40+00:00,154,4,True,yes,yes,yes,no,
luongnv89/claude-howto,skill_md,03-skills/code-review-specialist/SKILL.md,ACTIVE,2025-11-07 23:09:21+00:00,2026-05-26 06:58:44+00:00,14,6,True,yes,yes,yes,no,
supabase/supabase,prompts,examples/prompts/use-realtime.md,ACTIVE,2025-08-28 12:39:50+00:00,2026-05-04 10:58:16+00:00,37,4,True,yes,yes,no,yes,artifact file missing from local clone at annotation time
openclaw/openclaw,claude_md,src/agents/tools/CLAUDE.md,ACTIVE,2025-12-02 06:52:56+00:00,2026-04-17 06:45:59+00:00,54,6,True,yes,yes,yes,no,
