repo_id,instruction_file,reference,extracted_reference,reference_type,extraction_rule,confidence,resolved_path,resolution_status,exists_in_head,status,misguidance_category,historical_existence,counts_toward_primary_misguidance,parser_version,extraction_mode
cheat/cheat,CLAUDE.md,claude.ai/code,claude.ai/code,explicit_path,explicit_path,medium,claude.ai/code,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make build,make build,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make build-release,make build-release,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make install,make install,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make test,make test,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,./...,./...,explicit_path,explicit_path,medium,,unresolved,False,unresolved,unresolved_reference,never_existed,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,./internal/package_name,./internal/package_name,explicit_path,explicit_path,medium,internal/package_name,not_in_head,False,stale,stale_path,existed_before,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,internal,internal,directory_mention,common_directory_name,medium,internal/,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make coverage,make coverage,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make lint,make lint,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make vet,make vet,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make fmt,make fmt,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make check,make check,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make setup,make setup,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,make vendor-update,make vendor-update,command,make_command_to_makefile,medium,Makefile,resolved,True,valid,,,False,v2,misguidance_v2
cheat/cheat,CLAUDE.md,packages,packages,directory_mention,common_directory_name,medium,packages/,not_in_head,False,stale,stale_directory,never_existed,True,v2,misguidance_v2
cheat/cheat,CLAUDE.md,main.go,main.go,code_span,code_span,medium,main.go,not_in_head,False,stale,stale_path,never_existed,True,v2,misguidance_v2
