artifact_type,n_total,n_present,n_deleted,n_mature_present_180,n_active_180,n_dormant_180,gap_rate_mature_180,maintenance_rate_mature_180
agents_md,158,149,9,44,37,7,0.1590909090909091,0.8409090909090909
prompts,183,116,67,83,16,67,0.8072289156626506,0.1927710843373494
