repo_id,repo_type,typology_reason,n_ever_introduced_paths,n_present_paths,n_mature_present_paths,n_source_files_head,n_markdown_or_prompt_files_head,prompts_path_count,confidence
All-Hands-AI/OpenHands,codebase,substantial_source_code_footprint_at_head,6,1,1,2053,121,5,medium
BerriAI/litellm,codebase,substantial_source_code_footprint_at_head,16,8,5,5750,484,40,medium
ChromeDevTools/chrome-devtools-mcp,codebase,source_files_exceed_skill_md_paths,7,7,0,177,37,0,medium
ComposioHQ/awesome-claude-skills,collection_or_list,known_curated_list_repository,1777,864,27,65,935,0,high
Egonex-AI/Understand-Anything,codebase,substantial_source_code_footprint_at_head,14,9,0,223,115,0,medium
Fission-AI/OpenSpec,codebase,substantial_source_code_footprint_at_head,3,2,1,278,548,2,medium
HKUDS/CLI-Anything,codebase,substantial_source_code_footprint_at_head,145,127,0,1277,442,0,medium
HKUDS/nanobot,codebase,substantial_source_code_footprint_at_head,16,15,0,534,73,0,medium
Hmbown/CodeWhale,codebase,substantial_source_code_footprint_at_head,40,27,0,470,119,28,medium
JetBrains/kotlin,unclear,insufficient_confidence_for_codebase_or_collection_label,19,19,0,0,0,0,low
JuliusBrussee/caveman,unclear,insufficient_confidence_for_codebase_or_collection_label,25,14,0,41,64,1,low
Kong/insomnia,codebase,substantial_source_code_footprint_at_head,2,2,0,1431,145,0,medium
Leonxlnx/taste-skill,unclear,insufficient_confidence_for_codebase_or_collection_label,26,13,0,1,31,0,low
MemPalace/mempalace,codebase,substantial_source_code_footprint_at_head,3,3,0,225,100,0,medium
NousResearch/hermes-agent,codebase,substantial_source_code_footprint_at_head,306,173,0,3150,1482,4,medium
SeleniumHQ/selenium,codebase,substantial_source_code_footprint_at_head,8,8,0,3683,106,0,medium
Significant-Gravitas/AutoGPT,codebase,substantial_source_code_footprint_at_head,22,20,3,3328,425,2,medium
TabbyML/tabby,codebase,substantial_source_code_footprint_at_head,23,10,10,1378,226,23,medium
TransformerOptimus/SuperAGI,codebase,substantial_source_code_footprint_at_head,27,20,20,525,70,27,medium
Yeachan-Heo/oh-my-claudecode,codebase,substantial_source_code_footprint_at_head,97,56,0,3259,243,24,medium
abhigyanpatwari/GitNexus,codebase,substantial_source_code_footprint_at_head,21,14,0,3306,135,7,medium
addyosmani/agent-skills,unclear,insufficient_confidence_for_codebase_or_collection_label,25,25,0,8,60,0,low
affaan-m/ECC,collection_or_list,high_skill_md_dominance_with_modest_source_footprint,807,798,0,471,2485,33,medium
aio-libs/aiohttp,codebase,source_files_exceed_skill_md_paths,2,2,0,167,46,0,medium
algolia/algoliasearch-client-javascript,codebase,substantial_source_code_footprint_at_head,1,1,0,1316,22,0,medium
angular/angular,unclear,insufficient_confidence_for_codebase_or_collection_label,3,3,0,0,0,0,low
ansible/ansible,codebase,substantial_source_code_footprint_at_head,2,2,2,2096,2303,0,medium
anthropics/claude-code,codebase,low_path_multiplicity_with_source_code,10,10,10,45,119,0,medium
anthropics/skills,unclear,insufficient_confidence_for_codebase_or_collection_label,50,18,17,75,139,0,low
apache/airflow,codebase,substantial_source_code_footprint_at_head,18,18,1,8556,889,0,medium
apache/beam,codebase,substantial_source_code_footprint_at_head,157,145,145,10013,2690,157,medium
apache/cassandra,codebase,substantial_source_code_footprint_at_head,2,2,0,6358,302,0,medium
apache/dubbo,codebase,substantial_source_code_footprint_at_head,1,1,0,4045,57,0,medium
apache/flink,codebase,substantial_source_code_footprint_at_head,3,3,0,16555,898,0,medium
apache/httpd,codebase,substantial_source_code_footprint_at_head,1,1,0,1012,170,0,medium
apache/pulsar,codebase,substantial_source_code_footprint_at_head,2,2,0,4519,429,0,medium
apache/spark,codebase,substantial_source_code_footprint_at_head,2,2,0,9481,1668,0,medium
appwrite/appwrite,codebase,substantial_source_code_footprint_at_head,3,3,0,1702,577,0,medium
argoproj/argo-cd,codebase,substantial_source_code_footprint_at_head,2,2,0,1296,2815,0,medium
astral-sh/ruff,codebase,substantial_source_code_footprint_at_head,2,2,0,4870,507,0,medium
astral-sh/uv,codebase,substantial_source_code_footprint_at_head,2,2,0,729,245,0,medium
avelino/awesome-go,unclear,insufficient_confidence_for_codebase_or_collection_label,1,1,1,10,19,0,low
axios/axios,codebase,substantial_source_code_footprint_at_head,2,2,0,201,170,0,medium
