maturity_tier,n_repos,n_mature_present,n_active,n_dormant,artifact_gap_mature,repo_gap,artifact_gap_ci_95_low,artifact_gap_ci_95_high,repo_gap_ci_95_low,repo_gap_ci_95_high,tier_stable
Low,70,166,105,61,0.3674698795180723,0.11428571428571428,0.09978733713793475,0.7571428571428571,0.05,0.16666666666666666,True
Medium,69,132,44,88,0.6666666666666666,0.07246376811594203,0.4374599358974359,0.8,0.022727272727272728,0.11627906976744186,True
High,70,279,105,174,0.6236559139784946,0.02857142857142857,0.13043478260869565,0.8673100828729282,0.0,0.04878048780487805,True
