introduced_at_quarter,n_total,n_present,n_mature_present_180,n_active_180,n_dormant_180,gap_rate_mature_180,maintenance_rate_mature_180
2023Q2,21,13,13,0,13,1.0,0.0
2023Q3,15,7,7,0,7,1.0,0.0
2024Q2,3,1,1,1,0,0.0,1.0
2024Q3,18,9,9,0,9,1.0,0.0
2024Q4,11,8,8,5,3,0.375,0.625
2025Q1,10,8,8,2,6,0.75,0.25
2025Q2,21,17,17,13,4,0.23529411764705882,0.7647058823529411
2025Q3,79,66,66,35,31,0.4696969696969697,0.5303030303030303
2025Q4,53,45,40,17,23,0.575,0.425
2026Q1,189,157,0,0,0,,
2026Q2,230,198,0,0,0,,
