repo_id,commit_volume,n_repo_files,repo_age_proxy_days,n_ai_touch_commits,ci_present,maturity_score,maturity_tier
spree/spree,22070,5333,316,65,1.0,0.8062200956937798,High
discourse/discourse,8006,22796,355,4,0.0,0.6650717703349283,High
lobsters/lobsters,4529,748,242,2,0.0,0.34290271132376393,Low
outline/outline,9705,2495,194,11,0.0,0.543859649122807,Medium
mattermost/mattermost,9472,13376,386,12,1.0,0.8269537480063796,High
bottlepy/bottle,1987,219,-236,1,0.0,0.23125996810207336,Low
redis/redis-py,2759,400,20,1,0.0,0.2838915470494418,Low
mongodb/mongo-python-driver,6637,2086,91,4,0.0,0.44019138755980863,Medium
crossbario/autobahn-python,3523,802,327,5,0.0,0.3253588516746411,Low
aio-libs/aiohttp,13674,455,24,6,0.0,0.4561403508771929,Medium
ansible/ansible,8000,5754,214,3,0.0,0.5661881977671451,Medium
saltstack/salt,124938,5177,105,2,0.0,0.685805422647528,High
systemd/systemd,75374,7262,95,5,0.0,0.7033492822966507,High
containers/podman,27496,9950,183,5,0.0,0.6953748006379586,High
moby/moby,56736,12601,15,1,0.0,0.7272727272727274,High
kubernetes/kops,23829,17167,298,3,0.0,0.7240829346092504,High
fluxcd/flux2,3890,728,56,1,0.0,0.3253588516746411,Low
argoproj/argo-cd,9171,5392,57,2,0.0,0.6012759170653907,Medium
cockroachdb/cockroach,118943,20514,321,47,1.0,0.9354066985645934,High
tikv/tikv,8438,1532,153,1,0.0,0.4752791068580542,Medium
pingcap/tidb,8000,7475,242,28,0.0,0.5829346092503987,Medium
vitessio/vitess,35402,5084,218,12,0.0,0.6507177033492823,High
sqlite/sqlite,28710,2212,18,2,0.0,0.580542264752791,Medium
vinta/awesome-python,2482,33,152,8,0.0,0.22966507177033493,Low
google/benchmark,1829,211,13,2,0.0,0.22328548644338117,Low
facebook/react-native,40838,7791,133,1,0.0,0.7001594896331739,High
facebook/jest,7662,3313,166,7,0.0,0.5007974481658691,Medium
sveltejs/svelte,11252,8937,66,2,0.0,0.6602870813397129,High
angular/angular,8000,10588,123,11,0.0,0.6044657097288676,Medium
axios/axios,2081,449,37,6,0.0,0.26156299840510366,Low
date-fns/date-fns,2588,1903,16,1,0.0,0.3684210526315789,Low
storybookjs/storybook,80736,5847,197,53,1.0,0.8604465709728868,High
cypress-io/cypress,23070,7099,249,10,0.0,0.6618819776714513,High
rollup/rollup,6282,13378,108,2,0.0,0.5757575757575758,Medium
swc-project/swc,8000,76968,452,29,0.0,0.6626794258373205,High
labstack/echo,1878,130,265,1,0.0,0.21531100478468898,Low
grafana/loki,8000,17037,463,9,0.0,0.6307814992025518,High
grafana/tempo,4782,15728,85,4,1.0,0.7376395534290271,High
jaegertracing/jaeger,4443,1514,184,8,0.0,0.3716108452950558,Low
open-telemetry/opentelemetry-go,4712,1521,53,2,0.0,0.3859649122807018,Low
external-secrets/external-secrets,4511,1648,9,1,0.0,0.3891547049441786,Medium
