owner,repo,html_url,default_branch,source,selection_reason,sampled_at
dolthub,dolt,https://github.com/dolthub/dolt,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.781967+00:00
dgraph-io,dgraph,https://github.com/dgraph-io/dgraph,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782020+00:00
DanielLavrushin,b4,https://github.com/DanielLavrushin/b4,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782043+00:00
hashicorp,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782208+00:00
helm-unittest,helm-unittest,https://github.com/helm-unittest/helm-unittest,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782137+00:00
vllm-project,aibrix,https://github.com/vllm-project/aibrix,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092735+00:00
hookdeck,outpost,https://github.com/hookdeck/outpost,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092761+00:00
gin-contrib,cors,https://github.com/gin-contrib/cors,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827522+00:00
neilotoole,sq,https://github.com/neilotoole/sq,master,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092720+00:00
google,adk-go,https://github.com/google/adk-go,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782112+00:00
kubernetes-sigs,gateway-api,https://github.com/kubernetes-sigs/gateway-api,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827621+00:00
oneclickvirt,ecs,https://github.com/oneclickvirt/ecs,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827593+00:00
mk6i,open-oscar-server,https://github.com/mk6i/open-oscar-server,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827542+00:00
higress-group,higress,https://github.com/higress-group/higress,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092931+00:00
radius-project,radius,https://github.com/radius-project/radius,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782037+00:00
kenn-io,msgvault,https://github.com/kenn-io/msgvault,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782063+00:00
sipeed,picoclaw,https://github.com/sipeed/picoclaw,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782133+00:00
gin-contrib,sessions,https://github.com/gin-contrib/sessions,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827514+00:00
mvanhorn,printing-press-library,https://github.com/mvanhorn/printing-press-library,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782179+00:00
github,gh-aw,https://github.com/github/gh-aw,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092697+00:00
kubearmor,KubeArmor,https://github.com/kubearmor/KubeArmor,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782192+00:00
Dicklesworthstone,beads_viewer,https://github.com/Dicklesworthstone/beads_viewer,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827498+00:00
stacklok,toolhive,https://github.com/stacklok/toolhive,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092700+00:00
nicholas-fedor,watchtower,https://github.com/nicholas-fedor/watchtower,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092952+00:00
projectcalico,calico,https://github.com/projectcalico/calico,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827618+00:00
canopy-network,canopy,https://github.com/canopy-network/canopy,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092879+00:00
99designs,gqlgen,https://github.com/99designs/gqlgen,master,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782013+00:00
letsencrypt,boulder,https://github.com/letsencrypt/boulder,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782069+00:00
sqldef,sqldef,https://github.com/sqldef/sqldef,master,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092756+00:00
lxc,incus-os,https://github.com/lxc/incus-os,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827669+00:00
cockroachdb,pebble,https://github.com/cockroachdb/pebble,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827585+00:00
rqlite,rqlite,https://github.com/rqlite/rqlite,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827634+00:00
woodpecker-ci,woodpecker,https://github.com/woodpecker-ci/woodpecker,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.781907+00:00
k8sgpt-ai,k8sgpt,https://github.com/k8sgpt-ai/k8sgpt,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092764+00:00
linkerd,linkerd2,https://github.com/linkerd/linkerd2,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782047+00:00
dokku,dokku,https://github.com/dokku/dokku,master,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986545+00:00
opendevops-cn,opendevops,https://github.com/opendevops-cn/opendevops,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211772+00:00
vernu,vps-audit,https://github.com/vernu/vps-audit,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211880+00:00
CanineHQ,canine,https://github.com/CanineHQ/canine,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986689+00:00
DataTalksClub,ai-dev-tools-zoomcamp,https://github.com/DataTalksClub/ai-dev-tools-zoomcamp,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.219012+00:00
dagucloud,dagu,https://github.com/dagucloud/dagu,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986599+00:00
kubetail-org,kubetail,https://github.com/kubetail-org/kubetail,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218917+00:00
healthchecks,healthchecks,https://github.com/healthchecks/healthchecks,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218805+00:00
Microsoft365DSC,Microsoft365DSC,https://github.com/Microsoft365DSC/Microsoft365DSC,Dev,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218792+00:00
loft-sh,loft,https://github.com/loft-sh/loft,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218990+00:00
rohitg00,k8sgames,https://github.com/rohitg00/k8sgames,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211753+00:00
inspec,inspec,https://github.com/inspec/inspec,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218812+00:00
hystax,optscale,https://github.com/hystax/optscale,integration,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218944+00:00
freelensapp,freelens,https://github.com/freelensapp/freelens,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986693+00:00
moul,assh,https://github.com/moul/assh,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218845+00:00
aqzt,kjyw,https://github.com/aqzt/kjyw,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211952+00:00
rorkai,app-store-connect-cli-skills,https://github.com/rorkai/app-store-connect-cli-skills,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.219069+00:00
syself,cluster-api-provider-hetzner,https://github.com/syself/cluster-api-provider-hetzner,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986734+00:00
vitobotta,hetzner-k3s,https://github.com/vitobotta/hetzner-k3s,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986724+00:00
betterleaks,betterleaks,https://github.com/betterleaks/betterleaks,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218984+00:00
avevlad,russia-it-podcast,https://github.com/avevlad/russia-it-podcast,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211833+00:00
chaterm,Chaterm,https://github.com/chaterm/Chaterm,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218868+00:00
lensapp,lens,https://github.com/lensapp/lens,lens-desktop,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.212006+00:00
rairprotocol,dev-dapp-season1,https://github.com/rairprotocol/dev-dapp-season1,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211946+00:00
moul,sshportal,https://github.com/moul/sshportal,master,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986707+00:00
mattn,goreman,https://github.com/mattn/goreman,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211798+00:00
rohitg00,kubectl-mcp-server,https://github.com/rohitg00/kubectl-mcp-server,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211781+00:00
jenkins-x,jx,https://github.com/jenkins-x/jx,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218921+00:00
kubeshop,monokle,https://github.com/kubeshop/monokle,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211836+00:00
capistrano,sshkit,https://github.com/capistrano/sshkit,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211795+00:00
adnanh,webhook,https://github.com/adnanh/webhook,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211847+00:00
DataDog,dd-agent,https://github.com/DataDog/dd-agent,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211743+00:00
stakpak,agent,https://github.com/stakpak/agent,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218974+00:00
gonglei007,GameDevMind,https://github.com/gonglei007/GameDevMind,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986717+00:00
pycontribs,jenkinsapi,https://github.com/pycontribs/jenkinsapi,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.219035+00:00
lmorg,murex,https://github.com/lmorg/murex,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211699+00:00
env0,terratag,https://github.com/env0/terratag,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211719+00:00
kitops-ml,kitops,https://github.com/kitops-ml/kitops,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986542+00:00
AlexAnys,awesome-openclaw-usecases-zh,https://github.com/AlexAnys/awesome-openclaw-usecases-zh,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.219025+00:00
bridgecrewio,yor,https://github.com/bridgecrewio/yor,main,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.219103+00:00
clearml,clearml,https://github.com/clearml/clearml,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218874+00:00
vilaca,awesome-k8s-tools,https://github.com/vilaca/awesome-k8s-tools,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986497+00:00
apache,apisix-dashboard,https://github.com/apache/apisix-dashboard,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.218829+00:00
tianshiyeben,wgcloud,https://github.com/tianshiyeben/wgcloud,master,github_search_api:infra_topics:p2,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:43.219094+00:00
OneUptime,oneuptime,https://github.com/OneUptime/oneuptime,master,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986531+00:00
NotHarshhaa,DevOps-Interview-Questions,https://github.com/NotHarshhaa/DevOps-Interview-Questions,master,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211940+00:00
rohitg00,awesome-devops-mcp-servers,https://github.com/rohitg00/awesome-devops-mcp-servers,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211726+00:00
devspace-sh,devspace,https://github.com/devspace-sh/devspace,main,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986745+00:00
dromara,orion-visor,https://github.com/dromara/orion-visor,main,github_search_api:infra_topics:p3,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:48.211854+00:00
awesome-foss,awesome-sysadmin,https://github.com/awesome-foss/awesome-sysadmin,master,github_search_api:infra_topics:p1,stratum: devops-tagged active repos (stars>800),2026-06-23T05:30:37.986720+00:00
artem-ogre,CDT,https://github.com/artem-ogre/CDT,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635244+00:00
viblo,pymunk,https://github.com/viblo/pymunk,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400966+00:00
apache,cordova-plugin-inappbrowser,https://github.com/apache/cordova-plugin-inappbrowser,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400817+00:00
inkline,inkline,https://github.com/inkline/inkline,main,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400796+00:00
unikraft,unikraft,https://github.com/unikraft/unikraft,staging,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400941+00:00
paulbartrum,jurassic,https://github.com/paulbartrum/jurassic,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635292+00:00
FreeRDP,FreeRDP,https://github.com/FreeRDP/FreeRDP,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400765+00:00
evanwashere,mitata,https://github.com/evanwashere/mitata,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635286+00:00
ondras,rot.js,https://github.com/ondras/rot.js,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635321+00:00
lukasbach,headless-tree,https://github.com/lukasbach/headless-tree,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149198+00:00
felangel,bloc,https://github.com/felangel/bloc,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400744+00:00
lusaxweb,vuesax,https://github.com/lusaxweb/vuesax,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635342+00:00
zpl-c,librg,https://github.com/zpl-c/librg,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635123+00:00
wolph,python-progressbar,https://github.com/wolph/python-progressbar,develop,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400868+00:00
PaulRBerg,prb-math,https://github.com/PaulRBerg/prb-math,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149132+00:00
apache,shiro,https://github.com/apache/shiro,main,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400773+00:00
libexpat,libexpat,https://github.com/libexpat/libexpat,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400848+00:00
guhrodrrigues,luxe,https://github.com/guhrodrrigues/luxe,main,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635084+00:00
nayuki,QR-Code-generator,https://github.com/nayuki/QR-Code-generator,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635299+00:00
mkpaz,atlantafx,https://github.com/mkpaz/atlantafx,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635231+00:00
imbrn,v8n,https://github.com/imbrn/v8n,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635308+00:00
modernish,modernish,https://github.com/modernish/modernish,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635114+00:00
jonhoo,fantoccini,https://github.com/jonhoo/fantoccini,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149177+00:00
mpetroff,pannellum,https://github.com/mpetroff/pannellum,master,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149273+00:00
enkisoftware,imgui_markdown,https://github.com/enkisoftware/imgui_markdown,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149333+00:00
retentioneering,retentioneering-tools,https://github.com/retentioneering/retentioneering-tools,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635157+00:00
sksamuel,hoplite,https://github.com/sksamuel/hoplite,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400983+00:00
lukasmasuch,best-of-python,https://github.com/lukasmasuch/best-of-python,main,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400951+00:00
schollz,progressbar,https://github.com/schollz/progressbar,main,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635131+00:00
ContinualAI,avalanche,https://github.com/ContinualAI/avalanche,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635277+00:00
microsoft,FASTER,https://github.com/microsoft/FASTER,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149103+00:00
Devlight,NavigationTabBar,https://github.com/Devlight/NavigationTabBar,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635368+00:00
attractivechaos,klib,https://github.com/attractivechaos/klib,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635153+00:00
gruns,icecream,https://github.com/gruns/icecream,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400834+00:00
discordeno,discordeno,https://github.com/discordeno/discordeno,main,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400731+00:00
chatscope,chat-ui-kit-react,https://github.com/chatscope/chat-ui-kit-react,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635257+00:00
kokonut-labs,kokonutui,https://github.com/kokonut-labs/kokonutui,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149225+00:00
patriciogonzalezvivo,lygia,https://github.com/patriciogonzalezvivo/lygia,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149357+00:00
pb33f,libopenapi,https://github.com/pb33f/libopenapi,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149035+00:00
afkT,DevUtils,https://github.com/afkT/DevUtils,master,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149126+00:00
arkhipenko,TaskScheduler,https://github.com/arkhipenko/TaskScheduler,master,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149296+00:00
brainix,pottery,https://github.com/brainix/pottery,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400800+00:00
oauthlib,oauthlib,https://github.com/oauthlib/oauthlib,master,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149122+00:00
heroui-inc,heroui,https://github.com/heroui-inc/heroui,v3,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400820+00:00
brainboxdotcc,DPP,https://github.com/brainboxdotcc/DPP,master,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149180+00:00
RobTillaart,Arduino,https://github.com/RobTillaart/Arduino,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400720+00:00
advanced-cropper,vue-advanced-cropper,https://github.com/advanced-cropper/vue-advanced-cropper,master,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635374+00:00
margelo,react-native-graph,https://github.com/margelo/react-native-graph,main,github_search_api:library_topics:p2,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:59.149310+00:00
parnurzeal,gorequest,https://github.com/parnurzeal/gorequest,develop,github_search_api:library_topics:p3,stratum: library-tagged active repos (stars>800),2026-06-23T05:31:03.635167+00:00
libcpr,cpr,https://github.com/libcpr/cpr,master,github_search_api:library_topics:p1,stratum: library-tagged active repos (stars>800),2026-06-23T05:30:54.400916+00:00
harbor-framework,harbor,https://github.com/harbor-framework/harbor,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405269+00:00
alecmuffett,real-world-onion-sites,https://github.com/alecmuffett/real-world-onion-sites,master,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447078+00:00
sshuttle,sshuttle,https://github.com/sshuttle/sshuttle,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460006+00:00
airbytehq,airbyte,https://github.com/airbytehq/airbyte,master,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405151+00:00
TheR1D,shell_gpt,https://github.com/TheR1D/shell_gpt,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459932+00:00
tonquer,JMComic-qt,https://github.com/tonquer/JMComic-qt,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460056+00:00
ByteDance-Seed,VeOmni,https://github.com/ByteDance-Seed/VeOmni,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.447071+00:00
OCA,OpenUpgrade,https://github.com/OCA/OpenUpgrade,19.0,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405253+00:00
flosell,trailscraper,https://github.com/flosell/trailscraper,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460131+00:00
AcademySoftwareFoundation,rez,https://github.com/AcademySoftwareFoundation/rez,main,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460071+00:00
PrimeIntellect-ai,prime-rl,https://github.com/PrimeIntellect-ai/prime-rl,main,github_search_api:python_active:p1,stratum: active Python OSS (stars>800),2026-06-23T05:29:09.405283+00:00
modelscope,DiffSynth-Studio,https://github.com/modelscope/DiffSynth-Studio,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446880+00:00
keithrozario,Klayers,https://github.com/keithrozario/Klayers,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460028+00:00
NVIDIA-NeMo,Guardrails,https://github.com/NVIDIA-NeMo/Guardrails,develop,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.459961+00:00
volcengine,OpenViking,https://github.com/volcengine/OpenViking,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446965+00:00
nvaccess,nvda,https://github.com/nvaccess/nvda,master,github_search_api:python_active:p3,stratum: active Python OSS (stars>800),2026-06-23T05:29:19.460077+00:00
google,tunix,https://github.com/google/tunix,main,github_search_api:python_active:p2,stratum: active Python OSS (stars>800),2026-06-23T05:29:14.446913+00:00
