owner,repo,html_url,default_branch,source,selection_reason,sampled_at
fleetdm,fleet,https://github.com/fleetdm/fleet,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092885+00:00
apecloud,kubeblocks,https://github.com/apecloud/kubeblocks,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782040+00:00
googleapis,google-cloud-go,https://github.com/googleapis/google-cloud-go,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782130+00:00
aws,amazon-vpc-cni-k8s,https://github.com/aws/amazon-vpc-cni-k8s,master,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092790+00:00
flashcatcloud,categraf,https://github.com/flashcatcloud/categraf,main,github_search_api:go_active:p1,stratum: active Go OSS (stars>800),2026-06-23T05:29:24.092795+00:00
OpenListTeam,OpenList,https://github.com/OpenListTeam/OpenList,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827469+00:00
NetApp,trident,https://github.com/NetApp/trident,master,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782166+00:00
fluid-cloudnative,fluid,https://github.com/fluid-cloudnative/fluid,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827503+00:00
moby,buildkit,https://github.com/moby/buildkit,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827531+00:00
thomaspoignant,go-feature-flag,https://github.com/thomaspoignant/go-feature-flag,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827595+00:00
Ullaakut,cameradar,https://github.com/Ullaakut/cameradar,master,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782195+00:00
argoproj-labs,argocd-image-updater,https://github.com/argoproj-labs/argocd-image-updater,master,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827629+00:00
kubevirt,kubevirt,https://github.com/kubevirt/kubevirt,main,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.781935+00:00
stripe,stripe-go,https://github.com/stripe/stripe-go,master,github_search_api:go_active:p3,stratum: active Go OSS (stars>800),2026-06-23T05:29:33.782163+00:00
akuity,kargo,https://github.com/akuity/kargo,main,github_search_api:go_active:p2,stratum: active Go OSS (stars>800),2026-06-23T05:29:28.827636+00:00
