repo_id,instruction_file,reference_type,raw_reference,raw_text,resolved_path,exists_in_head,used_for_scope,extraction_rule,confidence,parser_version
prefecthq/prefect,docs/AGENTS.md,code_span,docs/,docs/,docs/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,directory_mention,docs,docs,docs/,True,True,common_directory_name,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,docs/docs.json,docs/docs.json,docs/docs.json,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,docs/docs.json,docs/docs.json,docs/docs.json,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,directory_mention,examples,examples,examples/,True,True,common_directory_name,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/examples/,v3/examples/,docs/v3/examples/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,examples/,examples/,examples/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,v3/examples/,v3/examples/,docs/v3/examples/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/api-ref/python/,v3/api-ref/python/,docs/v3/api-ref/python/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/api-ref/cli/,v3/api-ref/cli/,docs/v3/api-ref/cli/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,v3/api-ref/python/,v3/api-ref/python/,docs/v3/api-ref/python/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,v3/api-ref/cli/,v3/api-ref/cli/,docs/v3/api-ref/cli/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/api-ref/rest-api/,v3/api-ref/rest-api/,docs/v3/api-ref/rest-api/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,v3/api-ref/rest-api/,v3/api-ref/rest-api/,docs/v3/api-ref/rest-api/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/api-ref/events/,v3/api-ref/events/,docs/v3/api-ref/events/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,v3/api-ref/events/,v3/api-ref/events/,docs/v3/api-ref/events/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,integrations/prefect-kubernetes/api-ref/,integrations/prefect-kubernetes/api-ref/,docs/integrations/prefect-kubernetes/api-ref/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,integrations/prefect-kubernetes/api-ref/,integrations/prefect-kubernetes/api-ref/,docs/integrations/prefect-kubernetes/api-ref/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,markdown_link,[flows documentation](/v3/concepts/flows),[flows documentation](/v3/concepts/flows),v3/concepts/flows,False,False,markdown_link,low,v2
prefecthq/prefect,docs/AGENTS.md,code_span,docs/styles/CustomStyles/WordList.yml,docs/styles/CustomStyles/WordList.yml,docs/styles/CustomStyles/WordList.yml,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,docs/styles/CustomStyles/WordList.yml,docs/styles/CustomStyles/WordList.yml,docs/styles/CustomStyles/WordList.yml,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,docs/v3/,docs/v3/,docs/v3/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/,v3/,docs/v3/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,docs/resources/,docs/resources/,docs/resources/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,docs/v3/,docs/v3/,docs/v3/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,docs/resources/,docs/resources/,docs/resources/,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,docs/conftest.py,docs/conftest.py,docs/conftest.py,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,docs/conftest.py,docs/conftest.py,docs/conftest.py,True,True,explicit_path,high,v2
prefecthq/prefect,docs/AGENTS.md,code_span,snippets/,snippets/,docs/snippets/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,code_span,v3/how-to-guides/cloud/,v3/how-to-guides/cloud/,docs/v3/how-to-guides/cloud/,True,True,code_span,medium,v2
prefecthq/prefect,docs/AGENTS.md,explicit_path,v3/how-to-guides/cloud/,v3/how-to-guides/cloud/,docs/v3/how-to-guides/cloud/,True,True,explicit_path,high,v2
